TransactionID,UPI_ID,Amount,TransactionType,Location,Time,Device,IsFraud
TXN00051,rossrodney@upi,12100.2,Bill Payment,Hyderabad,16:11:06,Android,0
TXN00052,shannondavis@upi,31658.74,Send Money,Mumbai,13:11:59,Android,0
TXN00053,robert81@upi,42334.59,Bill Payment,Mumbai,00:16:53,iOS,1
TXN00054,lowetyler@upi,42547.91,Send Money,Hyderabad,08:30:16,iOS,0
TXN00055,travis14@upi,29038.52,Bill Payment,Mumbai,09:03:40,Android,1
TXN00056,christophersampson@upi,14203.21,Bill Payment,Delhi,17:33:19,iOS,0
TXN00057,katherinepowers@upi,32601.54,Send Money,Hyderabad,02:31:57,Android,1
TXN00058,nmartin@upi,913.59,Bill Payment,Chennai,10:03:30,iOS,0
TXN00059,leahnelson@upi,32485.15,Merchant Payment,Bangalore,03:29:30,Android,1
TXN00060,travisrussell@upi,15409.96,Merchant Payment,Bangalore,13:13:01,iOS,0
TXN00061,nford@upi,12207.04,Bill Payment,Kolkata,02:26:01,Android,0
TXN00062,dylanjones@upi,45305.88,Merchant Payment,Delhi,11:25:23,Android,0
TXN00063,nathanjones@upi,28849.43,Send Money,Chennai,14:56:34,iOS,0
TXN00064,cynthiawiggins@upi,14045.81,Merchant Payment,Mumbai,21:53:34,iOS,0
TXN00065,marquezloretta@upi,47023.52,Send Money,Kolkata,04:59:06,Android,1
TXN00066,lrobertson@upi,44175.87,Send Money,Chennai,12:03:19,iOS,0
TXN00067,osbornsharon@upi,27642.72,Merchant Payment,Bangalore,13:39:58,iOS,0
TXN00068,amanda12@upi,14729.5,Send Money,Mumbai,05:17:05,iOS,0
TXN00069,gdominguez@upi,18640.62,Bill Payment,Kolkata,00:19:18,iOS,0
TXN00070,hperez@upi,3530.1,Bill Payment,Kolkata,03:24:47,Android,0
TXN00071,patrickmartinez@upi,25921.3,Bill Payment,Delhi,22:28:14,Android,0
TXN00072,klawson@upi,6839.7,Bill Payment,Chennai,17:00:44,iOS,0
TXN00073,msmith@upi,40507.57,Send Money,Chennai,18:03:30,iOS,0
TXN00074,joseph69@upi,25080.8,Send Money,Hyderabad,07:38:54,Android,0
TXN00075,david12@upi,19845.22,Bill Payment,Hyderabad,17:41:46,Android,0
TXN00076,halesamantha@upi,18785.39,Bill Payment,Kolkata,22:41:46,Android,0
TXN00077,thomas99@upi,27136.81,Send Money,Kolkata,22:48:15,iOS,0
TXN00078,batesjay@upi,12520.07,Bill Payment,Kolkata,09:08:41,Android,0
TXN00079,christinamartinez@upi,6361.76,Send Money,Chennai,19:21:29,iOS,0
TXN00080,triciahayes@upi,31148.29,Bill Payment,Chennai,13:25:35,iOS,0
TXN00081,stephaniehicks@upi,27036.35,Merchant Payment,Hyderabad,02:18:41,iOS,1
TXN00082,elizabethglenn@upi,25819.85,Bill Payment,Bangalore,14:20:29,Android,0
TXN00083,kristinmarquez@upi,21681.7,Bill Payment,Delhi,19:45:16,Android,0
TXN00084,xbrewer@upi,4052.84,Merchant Payment,Mumbai,15:18:18,iOS,0
TXN00085,stephenlevine@upi,8672.98,Send Money,Delhi,23:11:38,iOS,0
TXN00086,brian12@upi,35732.65,Send Money,Chennai,12:51:59,Android,1
TXN00087,nlewis@upi,36897.47,Merchant Payment,Chennai,22:02:21,iOS,0
TXN00088,ethankim@upi,2395.33,Bill Payment,Bangalore,07:16:06,Android,0
TXN00089,chill@upi,17100.56,Send Money,Mumbai,02:45:30,iOS,0
TXN00090,vazquezeric@upi,35185.86,Bill Payment,Delhi,12:39:55,iOS,0
TXN00091,tanya48@upi,17321.75,Bill Payment,Kolkata,19:25:46,Android,0
TXN00092,mthompson@upi,30796.35,Send Money,Hyderabad,04:51:57,iOS,1
TXN00093,jonesdanielle@upi,13052.07,Bill Payment,Delhi,07:52:09,Android,0
TXN00094,lindagonzalez@upi,42825.93,Send Money,Chennai,01:06:22,iOS,1
TXN00095,shanezavala@upi,30796.4,Merchant Payment,Delhi,08:08:03,Android,0
TXN00096,cgarcia@upi,31823.82,Bill Payment,Bangalore,23:45:29,iOS,1
TXN00097,jasonknight@upi,6433.73,Send Money,Bangalore,08:04:49,Android,0
TXN00098,kathryntaylor@upi,19311.27,Send Money,Delhi,23:53:20,Android,0
TXN00099,jenniferfranklin@upi,3477.37,Merchant Payment,Kolkata,21:40:42,iOS,0
TXN00100,lindsey46@upi,30916.51,Merchant Payment,Mumbai,08:54:54,iOS,0
TXN00101,reginaldhubbard@upi,42245.32,Bill Payment,Kolkata,08:01:27,iOS,0
TXN00102,williamharding@upi,24806.91,Bill Payment,Chennai,09:50:11,iOS,0
TXN00103,cathyvaughn@upi,43874.83,Send Money,Chennai,05:49:43,Android,1
TXN00104,alexander40@upi,14108.91,Bill Payment,Chennai,21:35:07,Android,0
TXN00105,shannonwilliamson@upi,28800.47,Merchant Payment,Hyderabad,15:02:24,iOS,0
TXN00106,bsnyder@upi,29031.4,Merchant Payment,Kolkata,21:30:37,iOS,0
TXN00107,moorekelly@upi,21455.41,Send Money,Mumbai,18:40:55,Android,0
TXN00108,flynnkathryn@upi,45128.62,Bill Payment,Hyderabad,11:00:24,iOS,0
TXN00109,debrawillis@upi,14888.78,Merchant Payment,Mumbai,10:27:22,iOS,0
TXN00110,hoganvicki@upi,45270.05,Send Money,Hyderabad,20:05:38,iOS,0
TXN00111,joneszachary@upi,24131.22,Bill Payment,Chennai,02:23:00,Android,0
TXN00112,thomas58@upi,16439.94,Merchant Payment,Chennai,07:12:36,iOS,0
TXN00113,olsonwilliam@upi,39066.99,Merchant Payment,Chennai,22:55:22,Android,0
TXN00114,mckenziecarolyn@upi,2887.36,Merchant Payment,Delhi,05:47:00,Android,0
TXN00115,johnsonmary@upi,27300.33,Merchant Payment,Delhi,11:07:48,Android,0
TXN00116,woodandrew@upi,38077.92,Send Money,Chennai,02:18:28,iOS,1
TXN00117,wwalter@upi,4214.5,Send Money,Delhi,09:34:59,Android,0
TXN00118,markjennings@upi,35315.05,Send Money,Chennai,05:47:24,Android,1
TXN00119,crystal33@upi,11669.07,Send Money,Mumbai,04:27:42,iOS,0
TXN00120,leetammy@upi,47362.96,Send Money,Chennai,04:43:09,iOS,1
TXN00121,stanleymoss@upi,17517.41,Merchant Payment,Bangalore,09:48:27,Android,0
TXN00122,noah17@upi,35257.17,Bill Payment,Delhi,09:30:59,Android,0
TXN00123,smithchristopher@upi,24636.33,Send Money,Delhi,04:35:37,iOS,0
TXN00124,cervantesjane@upi,37051.28,Send Money,Mumbai,13:01:50,Android,0
TXN00125,ytaylor@upi,29172.6,Bill Payment,Mumbai,02:39:30,Android,0
TXN00126,brent60@upi,4153.74,Send Money,Kolkata,10:57:59,Android,1
TXN00127,angelalee@upi,617.6,Send Money,Chennai,09:31:07,Android,0
TXN00128,gscott@upi,26389.78,Merchant Payment,Hyderabad,14:22:33,Android,0
TXN00129,dawsonmichael@upi,34773.6,Send Money,Delhi,15:16:52,Android,0
TXN00130,melissanguyen@upi,34790.48,Merchant Payment,Mumbai,06:28:04,Android,0
TXN00131,alexandra47@upi,19216.25,Merchant Payment,Mumbai,06:18:53,Android,0
TXN00132,gutierrezbrandon@upi,47521.07,Bill Payment,Hyderabad,13:55:55,iOS,0
TXN00133,christopher03@upi,13876.29,Bill Payment,Delhi,22:31:33,iOS,0
TXN00134,laurenford@upi,3895.95,Send Money,Hyderabad,08:11:05,iOS,0
TXN00135,harriskevin@upi,1625.47,Send Money,Mumbai,01:54:29,Android,0
TXN00136,brian04@upi,34239.71,Send Money,Chennai,22:50:42,iOS,0
TXN00137,matthew53@upi,47027.19,Merchant Payment,Chennai,14:05:06,Android,0
TXN00138,matthewcurry@upi,4146.59,Bill Payment,Delhi,12:21:45,Android,0
TXN00139,beth07@upi,1328.09,Send Money,Kolkata,11:36:47,Android,0
TXN00140,shelly49@upi,49264.45,Merchant Payment,Chennai,20:47:51,iOS,0
TXN00141,kshannon@upi,48496.02,Merchant Payment,Mumbai,23:16:23,Android,1
TXN00142,shannon92@upi,3184.96,Send Money,Bangalore,03:55:27,Android,0
TXN00143,royrodriguez@upi,2828.21,Bill Payment,Hyderabad,10:07:25,Android,0
TXN00144,dramirez@upi,37498.04,Merchant Payment,Chennai,17:02:47,Android,0
TXN00145,cordovajared@upi,47238.84,Bill Payment,Bangalore,02:18:22,Android,1
TXN00146,barbarahernandez@upi,12061.83,Send Money,Kolkata,05:33:08,Android,1
TXN00147,vparker@upi,30312.67,Bill Payment,Mumbai,09:31:54,Android,0
TXN00148,earl77@upi,2354.35,Merchant Payment,Delhi,23:04:48,iOS,0
TXN00149,leonashley@upi,38618.2,Merchant Payment,Delhi,21:47:40,iOS,0
TXN00150,amy51@upi,48399.01,Bill Payment,Kolkata,14:49:55,Android,0
TXN00151,meltonleslie@upi,6709.42,Merchant Payment,Chennai,10:28:54,Android,0
TXN00152,reynoldsdean@upi,40254.18,Merchant Payment,Kolkata,23:46:52,iOS,1
TXN00153,gonzalesthomas@upi,737.09,Bill Payment,Delhi,22:30:44,iOS,0
TXN00154,theresawolf@upi,27745.23,Merchant Payment,Delhi,19:10:17,iOS,0
TXN00155,alvin78@upi,22551.01,Merchant Payment,Hyderabad,22:44:32,iOS,0
TXN00156,moralesdiane@upi,43119.56,Send Money,Chennai,03:48:54,iOS,1
TXN00157,cjennings@upi,22972.75,Send Money,Delhi,10:55:38,Android,0
TXN00158,drobertson@upi,22962.2,Bill Payment,Kolkata,02:52:44,Android,0
TXN00159,michaelsmith@upi,10464.45,Merchant Payment,Bangalore,14:06:15,Android,0
TXN00160,edwardsandrea@upi,23011.36,Merchant Payment,Bangalore,04:41:41,iOS,0
TXN00161,fbarnes@upi,9011.56,Send Money,Bangalore,03:05:44,iOS,0
TXN00162,wgordon@upi,33381.21,Bill Payment,Chennai,20:14:46,iOS,0
TXN00163,mstrickland@upi,41091.31,Bill Payment,Hyderabad,17:21:52,iOS,0
TXN00164,amandabrooks@upi,4444.24,Send Money,Chennai,20:43:37,Android,0
TXN00165,kelly92@upi,44711.92,Send Money,Kolkata,15:26:27,iOS,0
TXN00166,mark16@upi,1975.21,Send Money,Mumbai,00:16:28,iOS,0
TXN00167,rebecca28@upi,43680.2,Merchant Payment,Chennai,23:56:58,Android,1
TXN00168,wlewis@upi,13851.11,Send Money,Mumbai,14:43:22,Android,0
TXN00169,malloryedwards@upi,10475.37,Merchant Payment,Kolkata,03:09:14,iOS,0
TXN00170,georgeharrison@upi,18451.99,Bill Payment,Chennai,03:02:03,iOS,0
TXN00171,maciasdiana@upi,12629.32,Merchant Payment,Bangalore,18:46:43,Android,0
TXN00172,kennethbarker@upi,37483.32,Send Money,Delhi,05:07:05,iOS,1
TXN00173,jessicasmith@upi,17713.79,Merchant Payment,Mumbai,11:31:27,Android,0
TXN00174,gonzalezkatherine@upi,1013.36,Send Money,Mumbai,23:40:08,Android,0
TXN00175,judithchavez@upi,26771.42,Send Money,Mumbai,07:48:48,Android,0
TXN00176,rthompson@upi,33958.32,Merchant Payment,Mumbai,18:45:55,Android,0
TXN00177,amay@upi,29214.13,Bill Payment,Delhi,17:06:21,Android,0
TXN00178,blewis@upi,21588.66,Merchant Payment,Delhi,11:54:04,Android,0
TXN00179,melissa08@upi,44983.37,Bill Payment,Bangalore,22:22:39,iOS,0
TXN00180,johnsonjames@upi,16524.12,Send Money,Mumbai,04:00:38,Android,0
TXN00181,lori34@upi,7651.43,Merchant Payment,Hyderabad,06:55:15,iOS,0
TXN00182,gabrielstephenson@upi,14261.91,Merchant Payment,Mumbai,11:00:12,Android,0
TXN00183,marilyn29@upi,921.94,Send Money,Hyderabad,09:27:55,iOS,0
TXN00184,ihowe@upi,19898.8,Merchant Payment,Hyderabad,03:17:20,Android,0
TXN00185,smithchristopher@upi,12902.56,Bill Payment,Bangalore,19:04:45,iOS,0
TXN00186,kanderson@upi,27842.58,Bill Payment,Bangalore,10:12:29,Android,0
TXN00187,amandaday@upi,9360.32,Bill Payment,Hyderabad,13:16:40,Android,0
TXN00188,ethornton@upi,36815.0,Merchant Payment,Mumbai,06:53:06,iOS,0
TXN00189,stephanieclark@upi,4373.64,Bill Payment,Bangalore,11:21:18,Android,0
TXN00190,sschroeder@upi,26634.15,Send Money,Kolkata,06:40:31,iOS,0
TXN00191,ghouston@upi,27434.67,Bill Payment,Hyderabad,09:15:39,iOS,0
TXN00192,antonio57@upi,40495.62,Send Money,Chennai,11:23:52,Android,0
TXN00193,samantha32@upi,29785.98,Bill Payment,Bangalore,19:33:55,iOS,0
TXN00194,twoods@upi,42537.87,Bill Payment,Kolkata,06:01:31,Android,0
TXN00195,cindy19@upi,46917.64,Merchant Payment,Bangalore,00:52:38,Android,1
TXN00196,mhuber@upi,37058.62,Bill Payment,Hyderabad,01:31:30,iOS,1
TXN00197,omacias@upi,39077.91,Merchant Payment,Mumbai,16:15:14,Android,0
TXN00198,anthonyyoung@upi,8191.16,Send Money,Chennai,16:27:43,Android,0
TXN00199,liuchristina@upi,31691.59,Bill Payment,Hyderabad,02:13:53,Android,1
TXN00200,ericmitchell@upi,43861.26,Send Money,Delhi,00:35:06,iOS,1
TXN00201,bhendricks@upi,22602.91,Bill Payment,Bangalore,13:55:03,Android,0
TXN00202,ruth58@upi,37382.99,Merchant Payment,Mumbai,16:16:46,Android,0
TXN00203,sarah99@upi,19580.19,Bill Payment,Kolkata,23:06:09,Android,0
TXN00204,mackenzie18@upi,31215.66,Merchant Payment,Kolkata,23:31:08,iOS,1
TXN00205,nicole82@upi,16647.46,Merchant Payment,Delhi,11:59:08,iOS,0
TXN00206,tjohnson@upi,43932.67,Send Money,Hyderabad,14:18:55,iOS,0
TXN00207,olsonjoseph@upi,39431.97,Bill Payment,Mumbai,19:05:00,Android,0
TXN00208,robertsonphilip@upi,38930.81,Send Money,Kolkata,14:53:25,iOS,0
TXN00209,erinmartin@upi,38125.31,Merchant Payment,Delhi,04:27:12,Android,1
TXN00210,richardssarah@upi,5154.77,Send Money,Hyderabad,06:51:43,Android,0
TXN00211,monicamartinez@upi,19870.39,Send Money,Chennai,12:13:48,Android,0
TXN00212,matthew08@upi,36115.41,Bill Payment,Bangalore,14:52:31,Android,0
TXN00213,emily40@upi,28279.76,Bill Payment,Bangalore,20:34:12,Android,0
TXN00214,wolfeshelly@upi,9088.07,Bill Payment,Kolkata,04:25:26,iOS,0
TXN00215,ashleymiller@upi,23105.67,Bill Payment,Bangalore,07:42:06,iOS,0
TXN00216,brittany94@upi,6964.42,Bill Payment,Mumbai,03:21:12,Android,0
TXN00217,wiseashley@upi,43607.47,Send Money,Chennai,08:08:27,iOS,0
TXN00218,utownsend@upi,38564.62,Merchant Payment,Delhi,22:06:40,Android,0
TXN00219,chapmanheidi@upi,36824.85,Send Money,Kolkata,00:36:27,Android,1
TXN00220,christinafrost@upi,22547.46,Bill Payment,Chennai,19:49:28,Android,0
TXN00221,keith19@upi,9324.18,Merchant Payment,Mumbai,12:41:31,Android,0
TXN00222,brownrichard@upi,25946.71,Merchant Payment,Chennai,14:44:23,Android,0
TXN00223,lisaellis@upi,16766.51,Send Money,Chennai,18:14:48,iOS,0
TXN00224,baileydavid@upi,19914.45,Send Money,Delhi,19:22:09,Android,0
TXN00225,patriciadixon@upi,23290.35,Merchant Payment,Delhi,04:17:17,Android,0
TXN00226,vincent76@upi,11238.0,Merchant Payment,Bangalore,10:29:42,iOS,0
TXN00227,eric51@upi,24923.4,Bill Payment,Chennai,21:32:45,iOS,0
TXN00228,davislaura@upi,39026.98,Merchant Payment,Kolkata,05:44:58,iOS,1
TXN00229,jacksonkatie@upi,664.59,Send Money,Mumbai,21:56:27,Android,1
TXN00230,mason92@upi,22954.86,Bill Payment,Kolkata,04:34:50,iOS,0
TXN00231,jonesmelissa@upi,9231.3,Merchant Payment,Mumbai,14:36:21,iOS,0
TXN00232,albertcox@upi,37500.52,Merchant Payment,Bangalore,07:56:38,iOS,0
TXN00233,garyglenn@upi,9542.48,Send Money,Chennai,02:35:12,iOS,0
TXN00234,michaelortiz@upi,29376.81,Send Money,Kolkata,08:23:10,Android,0
TXN00235,jeremyjenkins@upi,26224.27,Send Money,Delhi,17:49:20,iOS,0
TXN00236,brianmyers@upi,7770.46,Send Money,Chennai,06:40:30,Android,0
TXN00237,sheltongregory@upi,18671.73,Bill Payment,Bangalore,21:32:17,iOS,0
TXN00238,dawn85@upi,40039.48,Merchant Payment,Hyderabad,22:01:40,iOS,0
TXN00239,mcknighttanya@upi,32949.61,Send Money,Mumbai,07:20:20,Android,0
TXN00240,smithchristina@upi,9813.69,Merchant Payment,Chennai,19:22:14,iOS,0
TXN00241,floresbrittany@upi,39997.81,Merchant Payment,Bangalore,15:15:27,Android,0
TXN00242,timothy24@upi,36043.45,Merchant Payment,Kolkata,22:51:00,iOS,0
TXN00243,alexandratran@upi,41512.69,Send Money,Kolkata,07:04:13,Android,0
TXN00244,sergio94@upi,16206.26,Bill Payment,Delhi,08:29:36,Android,0
TXN00245,ymiller@upi,42407.92,Send Money,Bangalore,09:04:57,iOS,0
TXN00246,robinsoneileen@upi,35200.27,Send Money,Chennai,03:22:53,iOS,1
TXN00247,amycolon@upi,16799.93,Merchant Payment,Delhi,00:32:55,Android,0
TXN00248,gerald25@upi,13410.5,Send Money,Chennai,23:39:40,iOS,0
TXN00249,darrylrichardson@upi,18144.27,Send Money,Hyderabad,15:10:16,Android,0
TXN00250,sandovallaura@upi,38182.65,Send Money,Delhi,12:15:50,iOS,0
TXN00251,scottjoseph@upi,44728.67,Send Money,Delhi,08:20:35,Android,0
TXN00252,nspears@upi,37086.93,Bill Payment,Chennai,12:07:48,Android,0
TXN00253,xcollins@upi,6976.41,Merchant Payment,Kolkata,13:53:43,iOS,0
TXN00254,gfaulkner@upi,45029.61,Bill Payment,Chennai,07:47:36,Android,0
TXN00255,garciaalexis@upi,26487.79,Bill Payment,Hyderabad,21:27:16,Android,0
TXN00256,rpark@upi,27713.36,Send Money,Kolkata,20:47:41,iOS,0
TXN00257,deleonbrendan@upi,5337.87,Bill Payment,Chennai,22:07:56,Android,0
TXN00258,rcuevas@upi,43695.76,Bill Payment,Hyderabad,22:15:23,Android,0
TXN00259,matthewstimothy@upi,8776.81,Send Money,Mumbai,06:12:51,iOS,0
TXN00260,vcasey@upi,38547.86,Bill Payment,Delhi,04:43:26,iOS,1
TXN00261,carl87@upi,47931.77,Send Money,Bangalore,02:15:11,Android,1
TXN00262,collinsmartha@upi,30161.57,Bill Payment,Chennai,20:21:22,Android,0
TXN00263,toddjackson@upi,21865.3,Send Money,Bangalore,10:48:49,Android,0
TXN00264,robertyoung@upi,47465.85,Merchant Payment,Kolkata,06:46:54,iOS,0
TXN00265,michael46@upi,10754.87,Merchant Payment,Hyderabad,09:06:42,Android,0
TXN00266,hilltammy@upi,2580.78,Bill Payment,Bangalore,12:07:09,Android,0
TXN00267,hardingrichard@upi,31170.39,Bill Payment,Chennai,00:44:32,Android,1
TXN00268,tiffanybrown@upi,3766.14,Send Money,Mumbai,17:27:45,Android,0
TXN00269,amberward@upi,29918.32,Send Money,Bangalore,09:16:30,Android,0
TXN00270,brittany26@upi,126.95,Merchant Payment,Kolkata,18:20:52,iOS,0
TXN00271,vfoster@upi,18055.09,Merchant Payment,Bangalore,23:10:59,Android,0
TXN00272,hlogan@upi,47512.37,Merchant Payment,Mumbai,05:28:10,Android,1
TXN00273,griffindouglas@upi,4344.39,Merchant Payment,Chennai,03:22:56,Android,0
TXN00274,fmills@upi,34616.91,Bill Payment,Mumbai,02:11:02,iOS,1
TXN00275,jennifer68@upi,24476.35,Merchant Payment,Bangalore,13:37:39,iOS,0
TXN00276,jmclean@upi,33499.17,Bill Payment,Mumbai,01:29:39,Android,1
TXN00277,rhonda72@upi,27794.77,Bill Payment,Delhi,17:53:42,Android,0
TXN00278,perryneil@upi,34874.04,Send Money,Bangalore,09:00:02,iOS,0
TXN00279,cbrown@upi,21093.92,Send Money,Delhi,20:02:57,Android,0
TXN00280,ephillips@upi,42229.02,Bill Payment,Bangalore,03:39:50,iOS,1
TXN00281,cynthiatownsend@upi,32230.89,Bill Payment,Bangalore,21:17:28,iOS,0
TXN00282,ithomas@upi,3856.89,Send Money,Bangalore,02:55:09,iOS,0
TXN00283,fnelson@upi,20230.23,Merchant Payment,Mumbai,18:14:24,iOS,0
TXN00284,nicole90@upi,15944.44,Bill Payment,Mumbai,13:36:23,iOS,0
TXN00285,gburgess@upi,43834.5,Bill Payment,Bangalore,07:43:57,iOS,1
TXN00286,umcdonald@upi,21.87,Send Money,Chennai,19:25:01,iOS,0
TXN00287,ochoajessica@upi,39941.17,Merchant Payment,Kolkata,15:59:34,iOS,0
TXN00288,lreed@upi,4436.29,Bill Payment,Chennai,18:04:47,iOS,0
TXN00289,erin45@upi,43685.12,Merchant Payment,Mumbai,11:02:11,iOS,0
TXN00290,khorn@upi,16825.16,Send Money,Mumbai,19:54:22,iOS,0
TXN00291,kgilmore@upi,23370.87,Bill Payment,Delhi,13:08:56,iOS,0
TXN00292,sharon12@upi,29459.54,Send Money,Chennai,13:46:03,iOS,0
TXN00293,joseph69@upi,5482.29,Send Money,Hyderabad,10:43:38,iOS,1
TXN00294,stevensjohn@upi,39901.49,Send Money,Bangalore,09:33:32,iOS,0
TXN00295,brian18@upi,43957.12,Bill Payment,Bangalore,15:29:45,iOS,0
TXN00296,mitchellcole@upi,8360.03,Merchant Payment,Hyderabad,15:56:43,Android,0
TXN00297,codycunningham@upi,30390.76,Send Money,Kolkata,05:03:42,iOS,1
TXN00298,ubell@upi,2356.8,Send Money,Delhi,03:21:36,Android,0
TXN00299,willisgregory@upi,38981.43,Bill Payment,Chennai,20:51:21,Android,0
TXN00300,ronniehull@upi,10824.04,Send Money,Bangalore,04:23:57,iOS,1
TXN00301,kennethdaniel@upi,8703.02,Bill Payment,Bangalore,08:05:41,iOS,0
TXN00302,alexanderwalker@upi,49816.83,Merchant Payment,Bangalore,11:10:22,iOS,0
TXN00303,carolynpittman@upi,37396.1,Send Money,Mumbai,19:17:40,iOS,0
TXN00304,phillipscraig@upi,4583.43,Send Money,Bangalore,11:48:41,Android,0
TXN00305,stephenfowler@upi,44438.52,Send Money,Delhi,09:15:30,iOS,0
TXN00306,wendyperkins@upi,16459.28,Send Money,Chennai,08:20:10,Android,0
TXN00307,melissa72@upi,20428.58,Merchant Payment,Kolkata,13:46:30,iOS,0
TXN00308,mjohnson@upi,2448.69,Bill Payment,Kolkata,21:55:53,Android,0
TXN00309,sean77@upi,34166.11,Send Money,Chennai,04:31:58,Android,1
TXN00310,vballard@upi,3085.24,Send Money,Kolkata,12:25:19,Android,0
TXN00311,patrick85@upi,28570.23,Bill Payment,Bangalore,09:16:10,Android,0
TXN00312,ssnyder@upi,43932.71,Merchant Payment,Hyderabad,01:31:13,Android,1
TXN00313,jguzman@upi,7875.46,Send Money,Chennai,12:09:07,Android,0
TXN00314,thomasliu@upi,46505.22,Merchant Payment,Bangalore,04:10:08,iOS,1
TXN00315,ginabowers@upi,9469.18,Send Money,Bangalore,16:24:56,Android,0
TXN00316,landryamy@upi,1472.07,Merchant Payment,Delhi,10:16:08,iOS,0
TXN00317,alicia01@upi,11438.97,Merchant Payment,Delhi,19:20:14,iOS,0
TXN00318,mhenderson@upi,37834.22,Merchant Payment,Delhi,08:40:55,iOS,0
